"Kod TERYT";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Robert BIEDROŃ";"Krzysztof BOSAK";"Andrzej Sebastian DUDA";"Szymon Franciszek HOŁOWNIA";"Marek JAKUBIAK";"Władysław Marcin KOSINIAK-KAMYSZ";"Mirosław Mariusz PIOTROWSKI";"Paweł Jan TANAJNO";"Rafał Kazimierz TRZASKOWSKI";"Waldemar Włodzimierz WITKOWSKI";"Stanisław Józef ŻÓŁTEK";"Liczba obwodów"
"020000";"dolnośląskie";2053530;2254674;634256;1419339;1068;15004;13092;12501;431;29;120;56;11891;1431124;11887;171;1430953;4560;1562;2998;0;1426393;37245;91793;545001;201050;2323;27210;1353;2356;512357;2163;3542;1947
"040000";"kujawsko-pomorskie";1451436;1580004;493946;957480;796;7831;7551;7295;306;10;66;10;6906;964324;6906;50;964274;2814;1019;1795;0;961460;22250;56532;380190;148597;1310;24234;912;1309;322961;1082;2083;1653
"060000";"lubelskie";1530267;1679712;492682;1037595;1769;8080;10268;9915;414;14;75;27;9387;1046849;9387;92;1046757;3415;1090;2325;0;1043342;17010;83403;591234;108987;2095;31756;2268;1430;201571;1027;2561;1906
"080000";"lubuskie";702418;773526;230341;472088;346;4128;3396;3270;154;10;25;15;3071;475090;3069;99;474991;1542;488;1054;0;473449;10413;28743;161894;84590;686;9583;405;756;174894;572;913;720
"100000";"łódzkie";1756621;1931018;499238;1257463;1184;8168;11526;11049;327;11;88;18;10616;1267939;10616;213;1267726;4119;1514;2605;0;1263607;29022;77759;589185;163294;2143;31245;1322;1824;363209;1703;2901;1733
"120000";"małopolskie";2410795;2663068;641278;1769612;1329;18970;22592;21923;677;39;152;66;21009;1790300;20971;248;1790052;4818;1654;3164;0;1785234;34230;138603;912452;206034;3217;52483;1763;2116;426950;2371;5015;2419
"140000";"mazowieckie";3749140;4572339;841481;2905133;2562;31709;373340;326481;12294;268;657;413;312914;3217390;312613;1071;3216319;9414;3130;6284;0;3206905;81797;209037;1305649;408502;7104;72663;3513;4850;1099956;6128;7706;3632
"160000";"opolskie";695988;772390;262105;433877;375;2498;4282;4154;146;3;39;3;3963;437810;3963;35;437775;1424;467;957;0;436351;8039;26661;176552;72609;702;10146;440;622;139125;536;919;871
"180000";"podkarpackie";1502035;1684688;445143;1056924;1259;8499;12056;11476;408;36;135;35;10865;1067661;10855;77;1067584;3025;1025;2000;0;1064559;14802;95350;646103;100742;1947;27287;1201;1122;172789;875;2341;1819
"200000";"podlaskie";834534;920327;283709;550864;773;5753;5013;4856;153;13;31;12;4647;555483;4648;53;555430;1713;516;1197;0;553717;8746;42823;280113;92088;1024;11681;602;747;114076;518;1299;964
"220000";"pomorskie";1590984;1796422;421438;1169609;661;32203;9184;8849;326;23;47;25;8432;1177818;8428;192;1177626;3434;1234;2200;0;1174192;30155;72978;397169;189390;1702;22400;1210;1795;453006;1671;2716;1397
"240000";"śląskie";3137863;3455664;939953;2195479;1433;13728;30247;29086;975;76;421;66;27609;2222852;27606;262;2222590;6392;2306;4086;0;2216198;50805;157010;913421;341169;3565;42625;2429;3535;693193;3047;5399;2753
"260000";"świętokrzyskie";908197;991408;297440;610725;1037;4153;5299;5106;134;13;35;9;4923;615589;4926;35;615554;1914;696;1218;0;613640;10728;42544;343752;62383;1018;19494;614;668;130670;555;1214;989
"280000";"warmińsko-mazurskie";967019;1112335;335067;631963;579;13170;3914;3788;141;6;22;7;3617;635509;3616;66;635443;2251;633;1618;0;633192;14025;42365;253931;93598;1062;15689;625;959;208922;755;1261;1115
"300000";"wielkopolskie";2447106;2696143;698006;1749145;1072;11901;18647;17996;628;60;114;49;17153;1766133;17154;323;1765810;4743;1863;2880;0;1761067;41200;106367;666539;293107;2543;44134;1698;2498;595803;3246;3932;2186
"320000";"zachodniopomorskie";1167554;1320966;358240;809304;611;30762;6414;6153;271;14;55;13;5804;814989;5801;113;814876;2723;874;1849;0;812153;21662;45412;287328;127257;1211;16735;710;1322;307858;1041;1617;1123
